,DRUG_1_CONCEPT_NAME,DRUG_2_CONCEPT_NAME,EVENT_CONCEPT_NAME,MDR_CODE,EVENT_SOURCE,BNF_SEV_LEVEL,ANSM_SEV_LEVEL,MICROMEDEX_SEV_LEVEL,BNF_EVID_LEVEL,MICROMEDEX_EVID_LEVEL
923,danaparoid,rivaroxaban,haemorrhage,10055798,BNF+Micromedex,,Precautions for use,Major,,Theoretical
924,danaparoid,apixaban,haemorrhage,10055798,BNF+Micromedex,,Precautions for use,Major,,Probable
925,aceclofenac,vortioxetine,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
926,phenindione,tenecteplase,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Theoretical
927,phenindione,streptokinase,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Theoretical
928,phenindione,rivaroxaban,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Theoretical
929,phenindione,apixaban,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Probable
930,tenoxicam,vortioxetine,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
931,dexketoprofen,vortioxetine,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
932,tiaprofenate,vortioxetine,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
933,tenecteplase,rivaroxaban,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Theoretical
934,tenecteplase,apixaban,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Theoretical
935,streptokinase,rivaroxaban,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Theoretical
936,streptokinase,apixaban,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Theoretical
937,rivaroxaban,apixaban,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Probable
938,duloxetine,aspirin,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Probable
939,duloxetine,nabumetone,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
940,duloxetine,naproxen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
941,duloxetine,celecoxib,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
942,duloxetine,diclofenac,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
943,duloxetine,piroxicam,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
944,duloxetine,meloxicam,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
945,duloxetine,fenoprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
946,duloxetine,flurbiprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
947,duloxetine,ibuprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
948,duloxetine,indomethacin,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
949,duloxetine,ketoprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
950,duloxetine,etodolac,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
951,duloxetine,mefenamate,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
952,duloxetine,sulindac,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
953,duloxetine,clopidogrel,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Probable
954,duloxetine,eptifibatide,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Probable
955,duloxetine,iloprost,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Probable
956,duloxetine,epoprostenol,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Probable
957,duloxetine,parecoxib,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
958,duloxetine,tirofiban,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Probable
959,duloxetine,aceclofenac,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
960,duloxetine,tenoxicam,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
962,duloxetine,dexketoprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
963,duloxetine,tiaprofenate,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
964,escitalopram,aspirin,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
965,escitalopram,nabumetone,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
966,escitalopram,naproxen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
967,escitalopram,celecoxib,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
968,escitalopram,diclofenac,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
969,escitalopram,piroxicam,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
970,escitalopram,meloxicam,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
971,escitalopram,fenoprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
972,escitalopram,flurbiprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
973,escitalopram,ibuprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
974,escitalopram,indomethacin,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
975,escitalopram,ketoprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
976,escitalopram,etodolac,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
977,escitalopram,mefenamate,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
978,escitalopram,sulindac,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
979,escitalopram,parecoxib,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
980,escitalopram,aceclofenac,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
981,escitalopram,tenoxicam,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
982,escitalopram,dexketoprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
983,escitalopram,tiaprofenate,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
984,paroxetine,aspirin,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
985,paroxetine,nabumetone,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
986,paroxetine,naproxen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
987,paroxetine,celecoxib,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
988,paroxetine,diclofenac,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
989,paroxetine,piroxicam,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
990,paroxetine,meloxicam,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
991,paroxetine,fenoprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
992,paroxetine,flurbiprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
993,paroxetine,ibuprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
994,paroxetine,indomethacin,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
995,paroxetine,ketoprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
996,paroxetine,etodolac,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
997,paroxetine,mefenamate,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
998,paroxetine,sulindac,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
999,paroxetine,parecoxib,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1000,paroxetine,aceclofenac,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1001,paroxetine,tenoxicam,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1002,paroxetine,dexketoprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1003,paroxetine,tiaprofenate,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1004,sertraline,aspirin,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1005,sertraline,nabumetone,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1006,sertraline,naproxen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1007,sertraline,celecoxib,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1008,sertraline,diclofenac,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1009,sertraline,piroxicam,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1010,sertraline,meloxicam,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1011,sertraline,fenoprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1012,sertraline,flurbiprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1013,sertraline,ibuprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1014,sertraline,indomethacin,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1015,sertraline,ketoprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1016,sertraline,etodolac,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1017,sertraline,mefenamate,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1018,sertraline,sulindac,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1019,sertraline,parecoxib,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1020,sertraline,aceclofenac,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1021,sertraline,tenoxicam,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1022,sertraline,dexketoprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1023,sertraline,tiaprofenate,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1024,venlafaxine,aspirin,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Probable
1025,venlafaxine,nabumetone,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1026,venlafaxine,naproxen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1027,venlafaxine,celecoxib,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1028,venlafaxine,diclofenac,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1029,venlafaxine,piroxicam,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1030,venlafaxine,meloxicam,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1031,venlafaxine,fenoprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1032,venlafaxine,flurbiprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1033,venlafaxine,ibuprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1034,venlafaxine,indomethacin,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1035,venlafaxine,ketoprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1036,venlafaxine,etodolac,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1037,venlafaxine,mefenamate,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1038,venlafaxine,sulindac,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1039,venlafaxine,clopidogrel,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Probable
1040,venlafaxine,eptifibatide,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Probable
1041,venlafaxine,iloprost,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Probable
1042,venlafaxine,epoprostenol,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Probable
1043,venlafaxine,parecoxib,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1044,venlafaxine,tirofiban,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Probable
1045,venlafaxine,aceclofenac,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1046,venlafaxine,tenoxicam,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1047,venlafaxine,dexketoprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1048,venlafaxine,tiaprofenate,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1049,fluvoxamine,aspirin,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1050,fluvoxamine,nabumetone,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1051,fluvoxamine,naproxen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1052,fluvoxamine,celecoxib,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1053,fluvoxamine,diclofenac,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1054,fluvoxamine,piroxicam,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1055,fluvoxamine,meloxicam,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1056,fluvoxamine,fenoprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1057,fluvoxamine,flurbiprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1058,fluvoxamine,ibuprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1059,fluvoxamine,indomethacin,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1060,fluvoxamine,ketoprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1061,fluvoxamine,etodolac,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1062,fluvoxamine,mefenamate,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1063,fluvoxamine,sulindac,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1064,fluvoxamine,parecoxib,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1065,fluvoxamine,aceclofenac,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1066,fluvoxamine,tenoxicam,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1067,fluvoxamine,dexketoprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1068,fluvoxamine,tiaprofenate,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1069,fluoxetine,aspirin,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1070,fluoxetine,nabumetone,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1071,fluoxetine,naproxen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1072,fluoxetine,celecoxib,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1073,fluoxetine,diclofenac,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1074,fluoxetine,piroxicam,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1075,fluoxetine,meloxicam,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1076,fluoxetine,fenoprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1077,fluoxetine,flurbiprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1078,fluoxetine,ibuprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1079,fluoxetine,indomethacin,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1080,fluoxetine,ketoprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1081,fluoxetine,etodolac,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1082,fluoxetine,mefenamate,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1083,fluoxetine,sulindac,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1084,fluoxetine,parecoxib,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1085,fluoxetine,aceclofenac,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1086,fluoxetine,tenoxicam,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1087,fluoxetine,dexketoprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1088,fluoxetine,tiaprofenate,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1089,citalopram,aspirin,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1090,citalopram,nabumetone,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1091,citalopram,naproxen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1092,citalopram,celecoxib,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1093,citalopram,diclofenac,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1094,citalopram,piroxicam,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1095,citalopram,meloxicam,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1096,citalopram,fenoprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1097,citalopram,flurbiprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1098,citalopram,ibuprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1099,citalopram,indomethacin,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1100,citalopram,ketoprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1101,citalopram,etodolac,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1102,citalopram,mefenamate,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1103,citalopram,sulindac,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1104,citalopram,clopidogrel,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Probable
1105,citalopram,eptifibatide,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Probable
1106,citalopram,iloprost,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Probable
1107,citalopram,epoprostenol,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Probable
1108,citalopram,parecoxib,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1109,citalopram,tirofiban,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Probable
1110,citalopram,aceclofenac,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1111,citalopram,tenoxicam,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1113,citalopram,dexketoprofen,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1114,citalopram,tiaprofenate,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Established
1115,citalopram,prasugrel,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Probable
1116,citalopram,ticagrelor,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Probable
1117,citalopram,cangrelor,haemorrhage,10055798,BNF+Micromedex,,Take into consideration,Major,,Probable
1118,aspirin,ticagrelor,haemorrhage,10055798,BNF+Micromedex,,Not recommended,Major,,Theoretical
1119,clopidogrel,anagrelide,haemorrhage,10055798,BNF+Micromedex,,Not recommended,Major,,Theoretical
1120,eptifibatide,anagrelide,haemorrhage,10055798,BNF+Micromedex,,Not recommended,Major,,Theoretical
1121,anagrelide,tirofiban,haemorrhage,10055798,BNF+Micromedex,,Not recommended,Major,,Theoretical
1123,anagrelide,prasugrel,haemorrhage,10055798,BNF+Micromedex,,Not recommended,Major,,Theoretical
1124,anagrelide,ticagrelor,haemorrhage,10055798,BNF+Micromedex,,Not recommended,Major,,Theoretical
1125,escitalopram,anagrelide,haemorrhage,10055798,BNF+Micromedex,,Precautions for use,Major,,Theoretical
1126,citalopram,anagrelide,haemorrhage,10055798,BNF+Micromedex,,Precautions for use,Major,,Theoretical
1127,metoprolol,verapamil,bradycardia,10006093,BNF+Micromedex,,Not recommended,Major,,Probable
1128,verapamil,nadolol,bradycardia,10006093,BNF+Micromedex,,Not recommended,Major,,Probable
1129,verapamil,atenolol,bradycardia,10006093,BNF+Micromedex,,Not recommended,Major,,Probable
1130,verapamil,nebivolol,bradycardia,10006093,BNF+Micromedex,,Not recommended,Major,,Probable
1131,verapamil,acebutolol,bradycardia,10006093,BNF+Micromedex,,Not recommended,Major,,Probable
1132,verapamil,betaxolol,bradycardia,10006093,BNF+Micromedex,,Not recommended,Major,,Probable
1133,verapamil,bisoprolol,bradycardia,10006093,BNF+Micromedex,,Not recommended,Major,,Probable
1134,verapamil,pindolol,bradycardia,10006093,BNF+Micromedex,,Not recommended,Major,,Probable
1135,verapamil,carvedilol,bradycardia,10006093,BNF+Micromedex,,Not recommended,Major,,Probable
1136,verapamil,propranolol,bradycardia,10006093,BNF+Micromedex,,Not recommended,Major,,Probable
1137,verapamil,sotalol,bradycardia,10006093,BNF+Micromedex,,Contraindicated,Major,,Probable
1138,verapamil,labetalol,bradycardia,10006093,BNF+Micromedex,,Not recommended,Major,,Probable
1139,verapamil,celiprolol,bradycardia,10006093,BNF+Micromedex,,Not recommended,Major,,Probable
1140,verapamil,esmolol,bradycardia,10006093,BNF+Micromedex,,Not recommended,Major,,Probable
1141,timolol,verapamil,bradycardia,10006093,BNF+Micromedex,,Not recommended,Major,,Probable
1142,levobunolol,verapamil,bradycardia,10006093,BNF+Micromedex,,Not recommended,Major,,Probable
1143,metoprolol,amiodarone,bradycardia,10006093,BNF+Micromedex,,Precautions for use,Moderate,,Established
1144,amiodarone,nadolol,bradycardia,10006093,BNF+Micromedex,,Precautions for use,Moderate,,Established
1145,amiodarone,atenolol,bradycardia,10006093,BNF+Micromedex,,Precautions for use,Moderate,,Established
1146,amiodarone,nebivolol,bradycardia,10006093,BNF+Micromedex,,Precautions for use,Moderate,,Established
1147,amiodarone,acebutolol,bradycardia,10006093,BNF+Micromedex,,Precautions for use,Moderate,,Established
1148,amiodarone,betaxolol,bradycardia,10006093,BNF+Micromedex,,Precautions for use,Moderate,,Established
1149,amiodarone,bisoprolol,bradycardia,10006093,BNF+Micromedex,,Precautions for use,Moderate,,Established
1150,amiodarone,pindolol,bradycardia,10006093,BNF+Micromedex,,Precautions for use,Moderate,,Established
1151,amiodarone,carvedilol,bradycardia,10006093,BNF+Micromedex,,Precautions for use,Moderate,,Established
1152,amiodarone,propranolol,bradycardia,10006093,BNF+Micromedex,,Precautions for use,Moderate,,Established
1153,amiodarone,labetalol,bradycardia,10006093,BNF+Micromedex,,Precautions for use,Moderate,,Established
1154,amiodarone,celiprolol,bradycardia,10006093,BNF+Micromedex,,Precautions for use,Moderate,,Established
1155,amiodarone,esmolol,bradycardia,10006093,BNF+Micromedex,,Precautions for use,Moderate,,Established
1156,timolol,amiodarone,bradycardia,10006093,BNF+Micromedex,,Precautions for use,Moderate,,Established
1157,levobunolol,amiodarone,bradycardia,10006093,BNF+Micromedex,,Precautions for use,Moderate,,Established
1158,metoprolol,digoxin,bradycardia,10006093,BNF+Micromedex,,Take into consideration,Moderate,,Probable
1159,nadolol,digoxin,bradycardia,10006093,BNF+Micromedex,,Take into consideration,Moderate,,Probable
1160,atenolol,digoxin,bradycardia,10006093,BNF+Micromedex,,Take into consideration,Moderate,,Probable
1161,nebivolol,digoxin,bradycardia,10006093,BNF+Micromedex,,Take into consideration,Moderate,,Probable
1162,acebutolol,digoxin,bradycardia,10006093,BNF+Micromedex,,Take into consideration,Moderate,,Probable
1163,betaxolol,digoxin,bradycardia,10006093,BNF+Micromedex,,Take into consideration,Moderate,,Probable
1164,digoxin,bisoprolol,bradycardia,10006093,BNF+Micromedex,,Take into consideration,Moderate,,Probable
1165,digoxin,pindolol,bradycardia,10006093,BNF+Micromedex,,Take into consideration,Moderate,,Probable
1166,digoxin,propranolol,bradycardia,10006093,BNF+Micromedex,,Take into consideration,Moderate,,Probable
1167,digoxin,labetalol,bradycardia,10006093,BNF+Micromedex,,Take into consideration,Moderate,,Probable
1168,digoxin,celiprolol,bradycardia,10006093,BNF+Micromedex,,Take into consideration,Moderate,,Probable
1169,digoxin,esmolol,bradycardia,10006093,BNF+Micromedex,,Take into consideration,Moderate,,Probable
1170,timolol,digoxin,bradycardia,10006093,BNF+Micromedex,,Take into consideration,Moderate,,Probable
1171,metoprolol,fingolimod,bradycardia,10006093,BNF+Micromedex,,Not recommended,Major,,Theoretical
1172,nadolol,fingolimod,bradycardia,10006093,BNF+Micromedex,,Not recommended,Major,,Theoretical
1173,atenolol,fingolimod,bradycardia,10006093,BNF+Micromedex,,Not recommended,Major,,Theoretical
1174,nebivolol,fingolimod,bradycardia,10006093,BNF+Micromedex,,Not recommended,Major,,Theoretical
1175,acebutolol,fingolimod,bradycardia,10006093,BNF+Micromedex,,Not recommended,Major,,Theoretical
1176,betaxolol,fingolimod,bradycardia,10006093,BNF+Micromedex,,Not recommended,Major,,Theoretical
1177,bisoprolol,fingolimod,bradycardia,10006093,BNF+Micromedex,,Not recommended,Major,,Theoretical
1178,pindolol,fingolimod,bradycardia,10006093,BNF+Micromedex,,Not recommended,Major,,Theoretical
1179,carvedilol,fingolimod,bradycardia,10006093,BNF+Micromedex,,Not recommended,Major,,Theoretical
1180,propranolol,fingolimod,bradycardia,10006093,BNF+Micromedex,,Not recommended,Major,,Theoretical
1181,labetalol,fingolimod,bradycardia,10006093,BNF+Micromedex,,Not recommended,Major,,Theoretical
1182,esmolol,fingolimod,bradycardia,10006093,BNF+Micromedex,,Not recommended,Major,,Theoretical
1183,timolol,fingolimod,bradycardia,10006093,BNF+Micromedex,,Not recommended,Major,,Theoretical
1184,metoprolol,crizotinib,bradycardia,10006093,BNF+Micromedex,,Precautions for use,Major,,Theoretical
1185,nadolol,crizotinib,bradycardia,10006093,BNF+Micromedex,,Precautions for use,Major,,Theoretical
1186,atenolol,crizotinib,bradycardia,10006093,BNF+Micromedex,,Precautions for use,Major,,Theoretical
1187,nebivolol,crizotinib,bradycardia,10006093,BNF+Micromedex,,Precautions for use,Major,,Theoretical
1188,acebutolol,crizotinib,bradycardia,10006093,BNF+Micromedex,,Precautions for use,Major,,Theoretical
1189,betaxolol,crizotinib,bradycardia,10006093,BNF+Micromedex,,Precautions for use,Major,,Theoretical
1190,digoxin,crizotinib,bradycardia,10006093,BNF+Micromedex,,Precautions for use,Major,,Theoretical
1191,bisoprolol,crizotinib,bradycardia,10006093,BNF+Micromedex,,Precautions for use,Major,,Theoretical
1192,pindolol,crizotinib,bradycardia,10006093,BNF+Micromedex,,Precautions for use,Major,,Theoretical
1193,carvedilol,crizotinib,bradycardia,10006093,BNF+Micromedex,,Precautions for use,Major,,Theoretical
1194,propranolol,crizotinib,bradycardia,10006093,BNF+Micromedex,,Precautions for use,Major,,Theoretical
