,source,target,rel,SOURCE
8820,bortezomib,drooling,Adverse event,BNF
8822,bortezomib,dry eye,Adverse event,SIDER
8823,bortezomib,dry eye,Adverse event,BNF
8825,bortezomib,dry throat,Adverse event,SIDER
8826,bortezomib,duodenitis haemorrhagic,Adverse event,SIDER
8827,bortezomib,dysacusis,Adverse event,SIDER
8828,bortezomib,dysaesthesia,Adverse event,SIDER
8829,bortezomib,dysarthria,Adverse event,SIDER
8835,bortezomib,dysphonia,Adverse event,SIDER
8836,bortezomib,dysphonia,Adverse event,BNF
8839,bortezomib,dyspnoea exertional,Adverse event,SIDER
8840,bortezomib,ear and labyrinth disorders,Adverse event,SIDER
8841,bortezomib,ear discomfort,Adverse event,SIDER
8842,bortezomib,ear discomfort,Adverse event,BNF
8843,bortezomib,ear disorder,Adverse event,SIDER
8844,bortezomib,ear disorder,Adverse event,BNF
8845,bortezomib,ear haemorrhage,Adverse event,SIDER
8847,bortezomib,ecchymosis,Adverse event,SIDER
8848,bortezomib,ejection fraction decreased,Adverse event,SIDER
8858,bortezomib,enzyme abnormality,Adverse event,SIDER
8859,bortezomib,enzyme abnormality,Adverse event,BNF
8860,bortezomib,epididymal tenderness,Adverse event,SIDER
8863,bortezomib,epistaxis,Adverse event,SIDER
8864,bortezomib,epstein-barr virus infection,Adverse event,SIDER
8868,bortezomib,erythromelalgia,Adverse event,SIDER
8869,bortezomib,erythromelalgia,Adverse event,BNF
8870,bortezomib,erythrosis,Adverse event,SIDER
8871,bortezomib,exophthalmos,Adverse event,SIDER
8872,bortezomib,extravasation,Adverse event,SIDER
8873,bortezomib,eye discharge,Adverse event,SIDER
8876,bortezomib,eye haemorrhage,Adverse event,SIDER
8877,bortezomib,eye inflammation,Adverse event,BNF
8878,bortezomib,eye irritation,Adverse event,SIDER
8879,bortezomib,eye pain,Adverse event,SIDER
8880,bortezomib,eye swelling,Adverse event,SIDER
8881,bortezomib,eyelid infection,Adverse event,SIDER
8882,bortezomib,face injury,Adverse event,SIDER
8883,bortezomib,face oedema,Adverse event,SIDER
8884,bortezomib,faecal incontinence,Adverse event,SIDER
8885,bortezomib,faecalith,Adverse event,SIDER
8886,bortezomib,faecaloma,Adverse event,SIDER
8887,bortezomib,failure to thrive,Adverse event,SIDER
8888,bortezomib,failure to thrive,Adverse event,BNF
8890,bortezomib,febrile neutropenia,Adverse event,SIDER
8892,bortezomib,feeling of body temperature change,Adverse event,SIDER
8893,bortezomib,fistula,Adverse event,SIDER
8894,bortezomib,fistula,Adverse event,BNF
8896,bortezomib,fluid imbalance,Adverse event,BNF
8903,bortezomib,frequent bowel movements,Adverse event,SIDER
8906,bortezomib,gait disturbance,Adverse event,SIDER
8907,bortezomib,gait disturbance,Adverse event,BNF
8910,bortezomib,gastritis haemorrhagic,Adverse event,SIDER
8915,bortezomib,gastrointestinal inflammation,Adverse event,SIDER
8916,bortezomib,gastrointestinal malformation,Adverse event,SIDER
8917,bortezomib,gastrointestinal motility disorder,Adverse event,SIDER
8918,bortezomib,gastrointestinal obstruction,Adverse event,SIDER
8920,bortezomib,gastrointestinal toxicity,Adverse event,SIDER
8921,bortezomib,gastrointestinal ulcer perforation,Adverse event,SIDER
8923,bortezomib,general physical health deterioration,Adverse event,SIDER
8925,bortezomib,genital pain,Adverse event,SIDER
8926,bortezomib,genital pain,Adverse event,BNF
8927,bortezomib,gingival bleeding,Adverse event,SIDER
8928,bortezomib,gingival hypertrophy,Adverse event,SIDER
8932,bortezomib,haematemesis,Adverse event,SIDER
8935,bortezomib,haematuria,Adverse event,SIDER
8939,bortezomib,haemoptysis,Adverse event,SIDER
8942,bortezomib,haemorrhage intracranial,Adverse event,SIDER
8943,bortezomib,haemorrhage subcutaneous,Adverse event,SIDER
8945,bortezomib,haemorrhagic stroke,Adverse event,SIDER
8946,bortezomib,hair disorder,Adverse event,SIDER
8947,bortezomib,hair disorder,Adverse event,BNF
8954,bortezomib,hepatic haemorrhage,Adverse event,SIDER
8955,bortezomib,hepatic vein occlusion,Adverse event,SIDER
8957,bortezomib,hepatobiliary disease,Adverse event,SIDER
8959,bortezomib,hepatomegaly,Adverse event,SIDER
8961,bortezomib,hernia,Adverse event,SIDER
8968,bortezomib,hydronephrosis,Adverse event,SIDER
8969,bortezomib,hyperaemia,Adverse event,SIDER
8973,bortezomib,hyperchloraemia,Adverse event,SIDER
8978,bortezomib,hypermagnesaemia,Adverse event,SIDER
8980,bortezomib,hyperphosphataemia,Adverse event,SIDER
8989,bortezomib,hyperventilation,Adverse event,SIDER
8990,bortezomib,hyperviscosity syndrome,Adverse event,SIDER
8991,bortezomib,hypoacusis,Adverse event,BNF
8994,bortezomib,hypocapnia,Adverse event,SIDER
8995,bortezomib,hypochloraemia,Adverse event,SIDER
8998,bortezomib,hyponatraemia,Adverse event,SIDER
8999,bortezomib,hypophosphataemia,Adverse event,SIDER
9005,bortezomib,hypovitaminosis,Adverse event,BNF
9007,bortezomib,hypovolaemic shock,Adverse event,SIDER
9009,bortezomib,ichthyosis,Adverse event,SIDER
9010,bortezomib,ichthyosis acquired,Adverse event,SIDER
9011,bortezomib,ileus,Adverse event,SIDER
9013,bortezomib,ill-defined disorder,Adverse event,SIDER
9014,bortezomib,immune system disorder,Adverse event,SIDER
9015,bortezomib,impaired healing,Adverse event,SIDER
9016,bortezomib,impaired healing,Adverse event,BNF
9017,bortezomib,inappropriate antidiuretic hormone secretion,Adverse event,SIDER
9018,bortezomib,inappropriate antidiuretic hormone secretion,Adverse event,BNF
9019,bortezomib,increased appetite,Adverse event,SIDER
9020,bortezomib,increased upper airway secretion,Adverse event,SIDER
9025,bortezomib,infestation,Adverse event,SIDER
9029,bortezomib,injection site erythema,Adverse event,SIDER
9031,bortezomib,injection site pain,Adverse event,SIDER
9032,bortezomib,injection site phlebitis,Adverse event,SIDER
9033,bortezomib,injection site reaction,Adverse event,SIDER
9036,bortezomib,international normalised ratio abnormal,Adverse event,SIDER
9038,bortezomib,intestinal obstruction,Adverse event,SIDER
9043,bortezomib,jc virus infection,Adverse event,BNF
9044,bortezomib,jessner's lymphocytic infiltration,Adverse event,SIDER
9045,bortezomib,joint effusion,Adverse event,SIDER
9046,bortezomib,joint injury,Adverse event,SIDER
9047,bortezomib,joint stiffness,Adverse event,SIDER
9051,bortezomib,large intestinal obstruction,Adverse event,SIDER
9052,bortezomib,large intestine perforation,Adverse event,SIDER
9054,bortezomib,lethargy,Adverse event,SIDER
9055,bortezomib,lethargy,Adverse event,BNF
9057,bortezomib,leukocytoclastic vasculitis,Adverse event,SIDER
9060,bortezomib,libido decreased,Adverse event,SIDER
9061,bortezomib,lip pain,Adverse event,SIDER
9062,bortezomib,lip swelling,Adverse event,SIDER
9064,bortezomib,livedo reticularis,Adverse event,SIDER
9067,bortezomib,local reaction,Adverse event,SIDER
9072,bortezomib,lung infiltration,Adverse event,SIDER
9073,bortezomib,lymphadenopathy,Adverse event,SIDER
9074,bortezomib,lymphadenopathy,Adverse event,BNF
9075,bortezomib,lymphocytic infiltration,Adverse event,SIDER
9076,bortezomib,lymphoedema,Adverse event,SIDER
9077,bortezomib,lymphoedema,Adverse event,BNF
9079,bortezomib,lymphopenia,Adverse event,SIDER
9080,bortezomib,macrophage activation,Adverse event,BNF
9087,bortezomib,mastoiditis,Adverse event,SIDER
9089,bortezomib,medical device complication,Adverse event,SIDER
9090,bortezomib,megacolon,Adverse event,SIDER
9091,bortezomib,melaena,Adverse event,SIDER
9098,bortezomib,metabolic disorder,Adverse event,SIDER
9099,bortezomib,metabolic disorder,Adverse event,BNF
9100,bortezomib,micturition disorder,Adverse event,SIDER
9103,bortezomib,motor dysfunction,Adverse event,SIDER
9104,bortezomib,mouth haemorrhage,Adverse event,SIDER
9105,bortezomib,mouth ulceration,Adverse event,SIDER
9107,bortezomib,mucosal disorder,Adverse event,BNF
9108,bortezomib,multi-organ failure,Adverse event,SIDER
9110,bortezomib,multiple organ dysfunction syndrome,Adverse event,BNF
9111,bortezomib,muscle related signs and symptoms nec,Adverse event,BNF
9112,bortezomib,muscle relaxant therapy,Adverse event,SIDER
9124,bortezomib,myopathy,Adverse event,SIDER
9125,bortezomib,myopathy,Adverse event,BNF
9126,bortezomib,nail disorder,Adverse event,SIDER
9127,bortezomib,nail disorder,Adverse event,BNF
9147,bortezomib,night sweats,Adverse event,SIDER
9148,bortezomib,non-cardiac chest pain,Adverse event,SIDER
9150,bortezomib,ocular discomfort,Adverse event,BNF
9158,bortezomib,optic nerve disorder,Adverse event,SIDER
9160,bortezomib,oral disorder,Adverse event,SIDER
9161,bortezomib,oral disorder,Adverse event,BNF
9162,bortezomib,oropharyngeal blistering,Adverse event,SIDER
9165,bortezomib,orthopnoea,Adverse event,SIDER
9170,bortezomib,pain in extremity,Adverse event,SIDER
9171,bortezomib,pain in jaw,Adverse event,SIDER
9183,bortezomib,paralysis,Adverse event,SIDER
9184,bortezomib,paralysis,Adverse event,BNF
9185,bortezomib,paresis,Adverse event,SIDER
9186,bortezomib,paresis,Adverse event,BNF
9187,bortezomib,parosmia,Adverse event,SIDER
9188,bortezomib,parosmia,Adverse event,BNF
9189,bortezomib,pelvic pain,Adverse event,SIDER
9190,bortezomib,pelvic pain,Adverse event,BNF
9191,bortezomib,perforation,Adverse event,BNF
9192,bortezomib,pericardial disorders,Adverse event,BNF
9194,bortezomib,pericarditis,Adverse event,SIDER
9195,bortezomib,pericarditis,Adverse event,BNF
9197,bortezomib,peripheral embolism,Adverse event,SIDER
9198,bortezomib,peripheral motor neuropathy,Adverse event,SIDER
9199,bortezomib,peripheral sensorimotor neuropathy,Adverse event,SIDER
9201,bortezomib,peripheral venous disease,Adverse event,BNF
9203,bortezomib,petechiae,Adverse event,SIDER
9204,bortezomib,phlebitis,Adverse event,SIDER
9206,bortezomib,photopsia,Adverse event,SIDER
9209,bortezomib,pigmentation disorder,Adverse event,SIDER
9210,bortezomib,plasma cell leukaemia,Adverse event,SIDER
9215,bortezomib,platelet aggregation increased,Adverse event,SIDER
9216,bortezomib,platelet count decreased,Adverse event,SIDER
9217,bortezomib,platelet disorder,Adverse event,SIDER
9218,bortezomib,platelet disorder,Adverse event,BNF
9220,bortezomib,pleurisy,Adverse event,SIDER
9223,bortezomib,pneumothorax,Adverse event,SIDER
9225,bortezomib,polyneuropathy,Adverse event,SIDER
9227,bortezomib,poor peripheral circulation,Adverse event,SIDER
9228,bortezomib,portal vein thrombosis,Adverse event,SIDER
9230,bortezomib,posterior reversible encephalopathy syndrome,Adverse event,SIDER
9231,bortezomib,posterior reversible encephalopathy syndrome,Adverse event,BNF
9232,bortezomib,presyncope,Adverse event,SIDER
9233,bortezomib,procedural complication,Adverse event,BNF
9235,bortezomib,proctalgia,Adverse event,SIDER
9236,bortezomib,progressive multifocal leukoencephalopathy,Adverse event,SIDER
9237,bortezomib,progressive multifocal leukoencephalopathy,Adverse event,BNF
9247,bortezomib,pulmonary alveolar haemorrhage,Adverse event,SIDER
9256,bortezomib,pyrexia,Adverse event,BNF
9257,bortezomib,radiation injury,Adverse event,SIDER
9258,bortezomib,radiation injury,Adverse event,BNF
9259,bortezomib,radiculitis,Adverse event,SIDER
9260,bortezomib,radiculopathy,Adverse event,SIDER
9262,bortezomib,rectal discharge,Adverse event,SIDER
9263,bortezomib,reflexes abnormal,Adverse event,SIDER
9264,bortezomib,reflexes abnormal,Adverse event,BNF
9271,bortezomib,respiratory alkalosis,Adverse event,SIDER
9272,bortezomib,respiratory disorder,Adverse event,BNF
9275,bortezomib,respiratory gas exchange disorder,Adverse event,BNF
9276,bortezomib,respiratory tract congestion,Adverse event,SIDER
9280,bortezomib,rhabdomyolysis,Adverse event,SIDER
9283,bortezomib,salivary gland disorder,Adverse event,SIDER
9285,bortezomib,scotoma,Adverse event,SIDER
9286,bortezomib,seborrhoea,Adverse event,BNF
9289,bortezomib,sensation of foreign body,Adverse event,SIDER
9290,bortezomib,sensation of heaviness,Adverse event,SIDER
9295,bortezomib,septic shock,Adverse event,SIDER
9299,bortezomib,sinus arrest,Adverse event,SIDER
9301,bortezomib,skin discolouration,Adverse event,SIDER
9303,bortezomib,skin induration,Adverse event,SIDER
9305,bortezomib,skin lesion,Adverse event,SIDER
9306,bortezomib,skin mass,Adverse event,SIDER
9307,bortezomib,skin mass,Adverse event,BNF
9308,bortezomib,skin reaction,Adverse event,BNF
9313,bortezomib,small intestinal obstruction,Adverse event,SIDER
9314,bortezomib,speech disorder,Adverse event,SIDER
9315,bortezomib,speech disorder,Adverse event,BNF
9316,bortezomib,spinal cord compression,Adverse event,SIDER
9320,bortezomib,stomatitis,Adverse event,SIDER
9321,bortezomib,subdural haematoma,Adverse event,SIDER
9328,bortezomib,synovial cyst,Adverse event,SIDER
9331,bortezomib,taste disorder,Adverse event,BNF
9332,bortezomib,temporomandibular joint syndrome,Adverse event,SIDER
9334,bortezomib,testicular disorder,Adverse event,SIDER
9335,bortezomib,testicular disorder,Adverse event,BNF
9337,bortezomib,thirst,Adverse event,SIDER
9338,bortezomib,thirst decreased,Adverse event,BNF
9339,bortezomib,throat irritation,Adverse event,SIDER
9340,bortezomib,throat tightness,Adverse event,SIDER
9346,bortezomib,tinnitus,Adverse event,SIDER
9347,bortezomib,tinnitus,Adverse event,BNF
9348,bortezomib,tongue coated,Adverse event,SIDER
9349,bortezomib,tongue disorder,Adverse event,SIDER
9350,bortezomib,tongue oedema,Adverse event,SIDER
9355,bortezomib,toxic skin eruption,Adverse event,SIDER
9361,bortezomib,troponin i increased,Adverse event,SIDER
9362,bortezomib,tumour lysis syndrome,Adverse event,SIDER
9363,bortezomib,tumour lysis syndrome,Adverse event,BNF
9367,bortezomib,upper-airway cough syndrome,Adverse event,SIDER
9368,bortezomib,ureteric obstruction,Adverse event,SIDER
9375,bortezomib,urinary tract signs and symptoms,Adverse event,SIDER
9376,bortezomib,urine analysis abnormal,Adverse event,SIDER
9379,bortezomib,vaginal haemorrhage,Adverse event,SIDER
9380,bortezomib,vaginal ulceration,Adverse event,BNF
9381,bortezomib,vascular purpura,Adverse event,SIDER
9384,bortezomib,vasodilatation,Adverse event,BNF
9385,bortezomib,vein discolouration,Adverse event,SIDER
9391,bortezomib,vertigo,Adverse event,SIDER
9392,bortezomib,vertigo,Adverse event,BNF
9393,bortezomib,vestibular neuronitis,Adverse event,SIDER
9396,bortezomib,vision disorders,Adverse event,BNF
9397,bortezomib,visual impairment,Adverse event,SIDER
9398,bortezomib,vitamin b complex deficiency,Adverse event,SIDER
9399,bortezomib,vitamin b12 deficiency,Adverse event,SIDER
9402,bortezomib,vulval ulceration,Adverse event,SIDER
9403,bortezomib,vulvitis,Adverse event,SIDER
9406,bortezomib,wheezing,Adverse event,SIDER
9408,bortezomib,white blood cell count increased,Adverse event,BNF
9411,bosentan,abdominal pain upper,Adverse event,SIDER
9431,bosentan,blood alkaline phosphatase increased,Adverse event,SIDER
9432,bosentan,blood and lymphatic system disorders,Adverse event,SIDER
9434,bosentan,blood lactate dehydrogenase increased,Adverse event,SIDER
9438,bosentan,bone marrow toxicity,Adverse event,SIDER
9449,bosentan,chromaturia,Adverse event,SIDER
9464,bosentan,disturbance in sexual arousal,Adverse event,SIDER
9471,bosentan,dysuria,Adverse event,SIDER
9472,bosentan,ecchymosis,Adverse event,SIDER
9474,bosentan,electrocardiogram change,Adverse event,SIDER
9476,bosentan,eosinophil count increased,Adverse event,SIDER
9477,bosentan,eosinophilia,Adverse event,SIDER
9478,bosentan,epistaxis,Adverse event,SIDER
9482,bosentan,eye irritation,Adverse event,SIDER
9484,bosentan,feeling hot,Adverse event,SIDER
9496,bosentan,haematocrit decreased,Adverse event,SIDER
9497,bosentan,haematuria,Adverse event,SIDER
9499,bosentan,haemoglobin decreased,Adverse event,SIDER
9500,bosentan,haemoptysis,Adverse event,SIDER
9505,bosentan,hemiparesis,Adverse event,SIDER
9510,bosentan,hepatobiliary disease,Adverse event,SIDER
9512,bosentan,hydrocephalus,Adverse event,SIDER
9520,bosentan,hyponatraemia,Adverse event,SIDER
9522,bosentan,immune system disorder,Adverse event,SIDER
9525,bosentan,infestation,Adverse event,SIDER
9527,bosentan,influenza like illness,Adverse event,SIDER
9529,bosentan,intestinal obstruction,Adverse event,SIDER
9532,bosentan,lethargy,Adverse event,SIDER
9535,bosentan,libido increased,Adverse event,SIDER
9537,bosentan,liver function test abnormal,Adverse event,SIDER
9546,bosentan,mouth ulceration,Adverse event,SIDER
9561,bosentan,nightmare,Adverse event,SIDER
9566,bosentan,pain in extremity,Adverse event,SIDER
9567,bosentan,pain in jaw,Adverse event,SIDER
9573,bosentan,peripheral ischaemia,Adverse event,SIDER
9577,bosentan,presyncope,Adverse event,SIDER
9586,bosentan,rectal haemorrhage,Adverse event,SIDER
9594,bosentan,sensation of heaviness,Adverse event,SIDER
9597,bosentan,skin discolouration,Adverse event,SIDER
9599,bosentan,skin reaction,Adverse event,BNF
9605,bosentan,stomatitis,Adverse event,SIDER
9611,bosentan,thirst,Adverse event,SIDER
9614,bosentan,tinnitus,Adverse event,SIDER
9617,bosentan,traumatic liver injury,Adverse event,SIDER
9625,bosentan,venoocclusive disease,Adverse event,SIDER
9628,bosentan,vertigo,Adverse event,SIDER
9634,bosentan,wheezing,Adverse event,SIDER
9635,bosentan,xerophthalmia,Adverse event,SIDER
9639,bosutinib,abdominal pain lower,Adverse event,SIDER
9640,bosutinib,abdominal pain upper,Adverse event,SIDER
9641,bosutinib,abdominal tenderness,Adverse event,SIDER
9647,bosutinib,amylase increased,Adverse event,SIDER
9653,bosutinib,aspartate aminotransferase increased,Adverse event,SIDER
9659,bosutinib,blood and lymphatic system disorders,Adverse event,SIDER
9661,bosutinib,blood creatine phosphokinase increased,Adverse event,SIDER
9662,bosutinib,blood creatinine increased,Adverse event,SIDER
9695,bosutinib,ear and labyrinth disorders,Adverse event,SIDER
9700,bosutinib,exfoliative rash,Adverse event,SIDER
9701,bosutinib,face oedema,Adverse event,SIDER
9703,bosutinib,febrile neutropenia,Adverse event,SIDER
9706,bosutinib,gamma-glutamyltransferase increased,Adverse event,SIDER
9707,bosutinib,gastric haemorrhage,Adverse event,SIDER
9713,bosutinib,gastrointestinal toxicity,Adverse event,SIDER
9719,bosutinib,hepatitis toxic,Adverse event,SIDER
9720,bosutinib,hepatobiliary disease,Adverse event,SIDER
9725,bosutinib,hypophosphataemia,Adverse event,SIDER
9726,bosutinib,ill-defined disorder,Adverse event,SIDER
9727,bosutinib,immune system disorder,Adverse event,SIDER
9730,bosutinib,infestation,Adverse event,SIDER
9735,bosutinib,lipase increased,Adverse event,SIDER
9738,bosutinib,lobar pneumonia,Adverse event,SIDER
9739,bosutinib,long qt syndrome,Adverse event,SIDER
9740,bosutinib,long qt syndrome,Adverse event,BNF
9765,bosutinib,pericarditis,Adverse event,SIDER
9766,bosutinib,pericarditis,Adverse event,BNF
9769,bosutinib,prurigo,Adverse event,SIDER
9774,bosutinib,pyrexia,Adverse event,BNF
9776,bosutinib,rash generalised,Adverse event,SIDER
9777,bosutinib,rash macular,Adverse event,SIDER
9778,bosutinib,rash maculo-papular,Adverse event,SIDER
9779,bosutinib,rash papular,Adverse event,SIDER
9784,bosutinib,respiratory disorder,Adverse event,BNF
9787,bosutinib,respiratory tract infection viral,Adverse event,SIDER
9789,bosutinib,skin reaction,Adverse event,BNF
9791,bosutinib,taste disorder,Adverse event,BNF
9794,bosutinib,tinnitus,Adverse event,SIDER
9795,bosutinib,tinnitus,Adverse event,BNF
9796,bosutinib,traumatic liver injury,Adverse event,SIDER
9797,bosutinib,tumour lysis syndrome,Adverse event,BNF
9803,bosutinib,viral upper respiratory tract infection,Adverse event,SIDER
9808,brentuximab vedotin,alopecia,Adverse event,BNF
9818,brentuximab vedotin,disease recurrence,Adverse event,BNF
9826,brentuximab vedotin,infusion related reaction,Adverse event,BNF
9832,brentuximab vedotin,progressive multifocal leukoencephalopathy,Adverse event,BNF
9833,brentuximab vedotin,pyrexia,Adverse event,BNF
9835,brentuximab vedotin,skin reaction,Adverse event,BNF
9838,brentuximab vedotin,tumour lysis syndrome,Adverse event,BNF
9845,bromocriptine,abdominal pain upper,Adverse event,SIDER
9852,bromocriptine,alopecia,Adverse event,SIDER
9853,bromocriptine,alopecia,Adverse event,BNF
9854,bromocriptine,amblyopia,Adverse event,SIDER
9865,bromocriptine,blepharospasm,Adverse event,SIDER
9870,bromocriptine,burning sensation,Adverse event,SIDER
9875,bromocriptine,cerebrospinal fluid leakage,Adverse event,SIDER
9890,bromocriptine,dermatitis allergic,Adverse event,BNF
9895,bromocriptine,diplopia,Adverse event,SIDER
9897,bromocriptine,disturbance in sexual arousal,Adverse event,SIDER
9909,bromocriptine,ear and labyrinth disorders,Adverse event,SIDER
9910,bromocriptine,eating disorder,Adverse event,BNF
9913,bromocriptine,ergot poisoning,Adverse event,SIDER
9914,bromocriptine,erythromelalgia,Adverse event,SIDER
9924,bromocriptine,gambling disorder,Adverse event,BNF
9925,bromocriptine,gastric haemorrhage,Adverse event,SIDER
9931,bromocriptine,gastrointestinal ulcer,Adverse event,SIDER
9936,bromocriptine,"hallucination, visual",Adverse event,SIDER
9942,bromocriptine,hypersexuality,Adverse event,SIDER
9953,bromocriptine,impulse-control disorder,Adverse event,SIDER
9959,bromocriptine,laboratory test abnormal,Adverse event,SIDER
9960,bromocriptine,lethargy,Adverse event,SIDER
9961,bromocriptine,libido increased,Adverse event,SIDER
9964,bromocriptine,lung infiltration,Adverse event,SIDER
9985,bromocriptine,neoplasm recurrence,Adverse event,SIDER
9989,bromocriptine,neurological symptom,Adverse event,SIDER
9991,bromocriptine,nightmare,Adverse event,SIDER
9992,bromocriptine,ocular discomfort,Adverse event,SIDER
10004,bromocriptine,paranoia,Adverse event,SIDER
10009,bromocriptine,pathological gambling,Adverse event,SIDER
10013,bromocriptine,pericarditis,Adverse event,SIDER
10014,bromocriptine,pericarditis,Adverse event,BNF
10015,bromocriptine,pericarditis constrictive,Adverse event,SIDER
10016,bromocriptine,peripheral coldness,Adverse event,SIDER
10017,bromocriptine,pleural conditions nec,Adverse event,SIDER
10019,bromocriptine,pleural fibrosis,Adverse event,SIDER
10020,bromocriptine,pleurisy,Adverse event,SIDER
10023,bromocriptine,presyncope,Adverse event,SIDER
10030,bromocriptine,respiratory disorder,Adverse event,BNF
10031,bromocriptine,retroperitoneal fibrosis,Adverse event,SIDER
10041,bromocriptine,sluggishness,Adverse event,SIDER
10047,bromocriptine,sudden onset of sleep,Adverse event,SIDER
10048,bromocriptine,superior sagittal sinus thrombosis,Adverse event,SIDER
10052,bromocriptine,tinnitus,Adverse event,SIDER
10053,bromocriptine,tinnitus,Adverse event,BNF
10062,bromocriptine,vertigo,Adverse event,SIDER
10064,bromocriptine,vision disorders,Adverse event,BNF
10065,bromocriptine,visual impairment,Adverse event,SIDER
10071,budesonide,abdominal pain upper,Adverse event,SIDER
10076,budesonide,adrenal suppression,Adverse event,BNF
10081,budesonide,allergic granulomatous angiitis,Adverse event,SIDER
10082,budesonide,alopecia,Adverse event,SIDER
10088,budesonide,anorectal disorder,Adverse event,SIDER
10089,budesonide,anosmia,Adverse event,SIDER
10097,budesonide,benign intracranial hypertension,Adverse event,SIDER
10098,budesonide,blood alkaline phosphatase increased,Adverse event,SIDER
10099,budesonide,blood and lymphatic system disorders,Adverse event,SIDER
10100,budesonide,blood cortisol decreased,Adverse event,SIDER
10106,budesonide,bronchospasm paradoxical,Adverse event,SIDER
10107,budesonide,c-reactive protein increased,Adverse event,SIDER
10112,budesonide,cataract subcapsular,Adverse event,BNF
10114,budesonide,chorioretinopathy,Adverse event,BNF
10119,budesonide,congenital eye disorder,Adverse event,SIDER
10130,budesonide,cushingoid,Adverse event,SIDER
10134,budesonide,diabetes mellitus inadequate control,Adverse event,BNF
10143,budesonide,dysphonia,Adverse event,SIDER
10145,budesonide,dysuria,Adverse event,SIDER
10146,budesonide,ear and labyrinth disorders,Adverse event,SIDER
10149,budesonide,ear pruritus,Adverse event,SIDER
10150,budesonide,ecchymosis,Adverse event,SIDER
10156,budesonide,epistaxis,Adverse event,SIDER
10160,budesonide,face oedema,Adverse event,SIDER
10170,budesonide,gastric disorder,Adverse event,SIDER
10174,budesonide,gastrointestinal fistula,Adverse event,SIDER
10178,budesonide,glossitis,Adverse event,SIDER
10180,budesonide,growth retardation,Adverse event,SIDER
10181,budesonide,growth retardation,Adverse event,BNF
10182,budesonide,haematuria,Adverse event,SIDER
10187,budesonide,hair growth abnormal,Adverse event,SIDER
10203,budesonide,ill-defined disorder,Adverse event,SIDER
10204,budesonide,immune system disorder,Adverse event,SIDER
10205,budesonide,impaired healing,Adverse event,SIDER
10206,budesonide,impaired healing,Adverse event,BNF
10207,budesonide,increased appetite,Adverse event,SIDER
10208,budesonide,increased appetite,Adverse event,BNF
10211,budesonide,infestation,Adverse event,SIDER
10215,budesonide,intestinal obstruction,Adverse event,SIDER
10220,budesonide,leukocytoclastic vasculitis,Adverse event,SIDER
10223,budesonide,lipohypertrophy,Adverse event,SIDER
10224,budesonide,local reaction,Adverse event,SIDER
10226,budesonide,lymphadenopathy,Adverse event,SIDER
10231,budesonide,menstrual disorder,Adverse event,SIDER
10232,budesonide,menstruation irregular,Adverse event,BNF
10234,budesonide,metrorrhagia,Adverse event,SIDER
10243,budesonide,myopathy,Adverse event,BNF
10245,budesonide,nasal discomfort,Adverse event,SIDER
10247,budesonide,nasal septum perforation,Adverse event,SIDER
10252,budesonide,necrosis ischaemic,Adverse event,SIDER
10259,budesonide,oral disorder,Adverse event,BNF
10263,budesonide,osteonecrosis,Adverse event,SIDER
10264,budesonide,osteonecrosis,Adverse event,BNF
10271,budesonide,papilloedema,Adverse event,BNF
10274,budesonide,pharyngeal disorder,Adverse event,SIDER
10277,budesonide,procedural complication,Adverse event,SIDER
10280,budesonide,psychiatric symptom,Adverse event,SIDER
10284,budesonide,pyuria,Adverse event,SIDER
10287,budesonide,red blood cell sedimentation rate increased,Adverse event,SIDER
10302,budesonide,skin irritation,Adverse event,SIDER
10303,budesonide,skin reaction,Adverse event,BNF
10304,budesonide,skin striae,Adverse event,SIDER
10309,budesonide,stridor,Adverse event,SIDER
10313,budesonide,telangiectasia,Adverse event,BNF
10317,budesonide,thirst,Adverse event,SIDER
10318,budesonide,throat irritation,Adverse event,SIDER
10319,budesonide,tongue disorder,Adverse event,SIDER
10320,budesonide,tongue oedema,Adverse event,SIDER
10321,budesonide,tooth disorder,Adverse event,SIDER
10330,budesonide,vascular purpura,Adverse event,SIDER
10332,budesonide,vertigo,Adverse event,SIDER
10333,budesonide,vertigo,Adverse event,BNF
10334,budesonide,viral diarrhoea,Adverse event,SIDER
10336,budesonide,viral upper respiratory tract infection,Adverse event,SIDER
10339,budesonide,visual impairment,Adverse event,SIDER
10343,budesonide,wheezing,Adverse event,SIDER
10349,bumetanide,amylase increased,Adverse event,SIDER
10352,bumetanide,asterixis,Adverse event,SIDER
10355,bumetanide,blood creatinine increased,Adverse event,SIDER
10363,bumetanide,cholestasis,Adverse event,SIDER
10373,bumetanide,ear discomfort,Adverse event,SIDER
10384,bumetanide,glucose urine present,Adverse event,SIDER
10385,bumetanide,glycosuria,Adverse event,SIDER
10399,bumetanide,hyperventilation,Adverse event,SIDER
10400,bumetanide,hypoacusis,Adverse event,SIDER
10401,bumetanide,hypoacusis,Adverse event,BNF
10402,bumetanide,hypochloraemia,Adverse event,SIDER
10404,bumetanide,hyponatraemia,Adverse event,SIDER
10420,bumetanide,nipple pain,Adverse event,SIDER
10426,bumetanide,premature ejaculation,Adverse event,SIDER
10431,bumetanide,skin reaction,Adverse event,BNF
10436,bumetanide,tinnitus,Adverse event,BNF
10439,bumetanide,vertigo,Adverse event,SIDER
